"predator","prey","median_g_yr","q25_g_yr","q75_g_yr","q05_g_yr","q95_g_yr","mean_g_yr","median_tonnes","q25_tonnes","q75_tonnes","scenario"
"salps","antarctic krill",31384.1866854559,16914.6208028104,73382.5533230954,2243.42201004374,169872.392991426,176261.84832734,0.0313841866854559,0.0169146208028104,0.0733825533230954,"Exploited"
"mesopelagic fishes","antarctic krill",1361964729617.74,558825582364.454,2660628370157.28,46575204453.538,6664648258989.99,2547899445872.88,1361964.72961774,558825.582364454,2660628.37015728,"Exploited"
"bathypelagic fishes","antarctic krill",1301679722005.27,597231878555.884,2437139030647.27,66737866839.736,4734648522556.48,2061955734733.65,1301679.72200527,597231.878555884,2437139.03064727,"Exploited"
"shelf and coastal fishes","antarctic krill",3688074803580.01,1905214191865.42,6741270244185.49,175705903648.874,9704307651962.55,4799582058604.16,3688074.80358001,1905214.19186542,6741270.24418549,"Exploited"
"flying birds","antarctic krill",20218236576.2709,9326312049.25726,39007837122.3906,869901039.441714,55298360551.3341,25765078894.647,20218.2365762709,9326.31204925726,39007.8371223906,"Exploited"
"small divers","antarctic krill",14874369340.686,5971304052.51875,28071427576.9846,468138124.341146,62616752829.8484,21414509209.132,14874.369340686,5971.30405251875,28071.4275769846,"Exploited"
"squids","antarctic krill",74411512948.2722,31531069354.7878,140928923977.066,3019147428.86967,234620457812.486,101199319777.94,74411.5129482722,31531.0693547878,140928.923977066,"Exploited"
"toothfishes","antarctic krill",45944288618.8637,20032059402.3689,97416170360.7199,1493191936.98179,154607323933.334,70049205185.803,45944.2886188637,20032.0594023689,97416.1703607199,"Exploited"
"leopard seals","antarctic krill",78376891.7743428,35961123.646504,147988207.926402,3588122.53222692,238114245.201355,103879352.879184,78.3768917743428,35.961123646504,147.988207926402,"Exploited"
"medium divers","antarctic krill",3907505525.6486,1539640804.00744,8266324161.43213,135190049.262626,18186414180.9078,6322124308.9228,3907.5055256486,1539.64080400744,8266.32416143213,"Exploited"
"large divers","antarctic krill",335057380.60588,124883066.01202,781275621.050307,16310342.1433992,2939649016.07355,931283468.367031,335.05738060588,124.88306601202,781.275621050307,"Exploited"
"minke whales","antarctic krill",3017842601.88126,1392192237.57861,6511112228.06862,172553948.897324,151500026701.742,300679315532.836,3017.84260188126,1392.19223757861,6511.11222806862,"Exploited"
"orca","antarctic krill",3968.74095589235,1456.06641164631,8083.57981437985,132.910139352538,15948.073511448,5713.92071531333,0.00396874095589235,0.00145606641164631,0.00808357981437985,"Exploited"
"sperm whales","antarctic krill",10151591.9548162,2987693.79177219,45644880.4575188,397766.479107858,810123589.809438,636786042.384947,10.1515919548162,2.98769379177219,45.6448804575188,"Exploited"
"baleen whales","antarctic krill",231346471.435361,121004355.710847,329566394.569213,13620460.1163877,388971461.541335,222479394.175167,231.346471435361,121.004355710847,329.566394569213,"Exploited"
"mesozooplankton","salps",261466.691351821,129508.764407268,866231.873409893,50047.492554523,2089428.0849498,614195.608028491,0.261466691351821,0.129508764407268,0.866231873409893,"Exploited"
"other krill","salps",114.740203378642,29.4678570761646,528.192653823638,6.0315165925921,1941.24809180366,435.455778269607,0.000114740203378642,2.94678570761646e-05,0.000528192653823638,"Exploited"
"other macrozooplankton","salps",344415642.453628,236718354.470941,510176942.75817,117110546.344673,743307412.567523,381959294.071475,344.415642453628,236.718354470941,510.17694275817,"Exploited"
"antarctic krill","salps",14927.2569833409,4403.86444356154,38385.4285355836,410.45606324154,94016.3192442485,31680.2665530802,0.0149272569833409,0.00440386444356154,0.0383854285355836,"Exploited"
"salps","salps",15.8613038691355,10.826726998329,25.5086331096596,4.82509572697318,33.2752717298171,18.031514613129,1.58613038691355e-05,1.0826726998329e-05,2.55086331096596e-05,"Exploited"
"mesopelagic fishes","salps",36434624255.7577,21188848148.5508,69006171421.4576,3909243029.68955,114726023207.583,47145522622.6193,36434.6242557577,21188.8481485508,69006.1714214576,"Exploited"
"bathypelagic fishes","salps",45716228570.9014,27111796933.1091,71444061888.4324,14005305098.7185,127089648367.831,54266203753.8794,45716.2285709014,27111.7969331091,71444.0618884324,"Exploited"
"shelf and coastal fishes","salps",303877121686.045,230888086176.511,452353819662.448,127620484783.162,564836954223.34,332895114886.433,303877.121686045,230888.086176511,452353.819662448,"Exploited"
"flying birds","salps",5084921578.4852,3859155638.7197,7991403990.93968,1168070323.79844,11040244184.2823,5813543037.49819,5084.92157848519,3859.1556387197,7991.40399093968,"Exploited"
"small divers","salps",2316391939.06063,1255216261.49641,3911348233.29736,302086752.503738,7298951432.81253,2845486403.27707,2316.39193906063,1255.21626149641,3911.34823329736,"Exploited"
"squids","salps",36210141715.8657,26602173049.1688,56999270961.4962,15611329221.5536,85196640583.4395,44514465657.9816,36210.1417158657,26602.1730491688,56999.2709614962,"Exploited"
"toothfishes","salps",31176572591.5113,19364891432.7854,53361031015.7335,4216047535.35268,79915825692.6971,37013663132.241,31176.5725915113,19364.8914327854,53361.0310157335,"Exploited"
"leopard seals","salps",27192061.7898173,18940229.6071992,41116455.7336449,7427908.98913337,63406440.7788107,31052662.7337859,27.1920617898173,18.9402296071992,41.1164557336449,"Exploited"
