"predator","prey","median_g_yr","q25_g_yr","q75_g_yr","q05_g_yr","q95_g_yr","mean_g_yr","median_tonnes","q25_tonnes","q75_tonnes","scenario"
"small divers","salps",2047482825.54076,1178384366.13852,3590789061.19584,316090185.71953,6713814339.99665,2624966710.38116,2047.48282554076,1178.38436613852,3590.78906119584,"Unexploited"
"squids","salps",32710344803.9586,24310413876.8134,51156838771.4287,12968201246.086,79964089341.6656,40568055336.3513,32710.3448039586,24310.4138768134,51156.8387714287,"Unexploited"
"toothfishes","salps",26287142736.7982,15486303147.5427,43986904670.082,3683248781.34478,73726359695.8153,31459255731.6966,26287.1427367982,15486.3031475427,43986.904670082,"Unexploited"
"leopard seals","salps",23871576.8215263,16678295.1944046,35416006.1263981,6998207.37432668,56913122.2504388,27208860.0385784,23.8715768215263,16.6782951944046,35.4160061263981,"Unexploited"
"medium divers","salps",4166461215.93784,2607768611.2504,6852727080.72093,1109825045.40775,12476822780.47,5176446617.75,4166.46121593784,2607.7686112504,6852.72708072093,"Unexploited"
"large divers","salps",215175303.688777,119390507.058152,428707029.626163,50245433.6787626,1610766505.06469,538445712.242442,215.175303688777,119.390507058152,428.707029626163,"Unexploited"
"minke whales","salps",890784906.513318,483293215.357795,2149705978.11488,176996591.265435,356795580733.335,53508082563.7242,890.784906513318,483.293215357795,2149.70597811488,"Unexploited"
"orca","salps",16677.5759837292,10214.0068510183,28258.540098101,4370.77692914785,53607.361704809,21187.075260645,0.0166775759837292,0.0102140068510183,0.028258540098101,"Unexploited"
"sperm whales","salps",174270566.202462,88091230.6849555,531083090.964035,36605444.4765758,12674920221.1518,2423819461.18941,174.270566202462,88.0912306849555,531.083090964035,"Unexploited"
"baleen whales","salps",369259511755.716,176371697792.879,674175709219.715,16099005618.482,2162710029186.9,600743842155.61,369259.511755716,176371.697792879,674175.709219715,"Unexploited"
"mesozooplankton","mesopelagic fishes",1269.0500268138,431.691833643877,6964.50494083669,120.03598216444,25945.5289753608,5924.02945389206,0.0012690500268138,0.000431691833643877,0.00696450494083669,"Unexploited"
"other krill","mesopelagic fishes",0.129551522376954,0.0269869227730759,0.594807006543244,0.00564853856265557,2.123618908385,0.517833453774566,1.29551522376954e-07,2.69869227730759e-08,5.94807006543244e-07,"Unexploited"
"other macrozooplankton","mesopelagic fishes",59998536.6833365,33055554.5558075,89944047.1082161,13854660.2433041,171528858.30115,74589358.3019535,59.9985366833365,33.0555545558075,89.9440471082161,"Unexploited"
"antarctic krill","mesopelagic fishes",84.9022925167409,28.1936456729746,254.016472328115,4.26784736952449,670.24639149354,226.940786657289,8.49022925167409e-05,2.81936456729746e-05,0.000254016472328115,"Unexploited"
"salps","mesopelagic fishes",0.0115587762446663,0.00538834230559996,0.0256629078103106,0.00166775539545704,0.0644212603068321,0.0202334827869378,1.15587762446663e-08,5.38834230559996e-09,2.56629078103106e-08,"Unexploited"
"mesopelagic fishes","mesopelagic fishes",46684190224.1201,27783655894.0349,107821021495.7,3336530527.57833,155180368733.275,66383659455.9932,46684.1902241201,27783.6558940349,107821.0214957,"Unexploited"
"bathypelagic fishes","mesopelagic fishes",81410355809.476,50255729717.1134,128624996157.648,27081840537.2372,178568400486.837,90961846568.0422,81410.355809476,50255.7297171134,128624.996157648,"Unexploited"
