"time","diff_median","diff_q25","diff_q75","diff_q05","diff_q95","n_pairs"
1991,-0.0144599783941558,-0.0210242058886646,-0.0101614043867469,-0.026626816471662,-0.00659354586885573,212
1992,-0.014423997565679,-0.0209623592330101,-0.00991288612227909,-0.0264177877979837,-0.00653047803501021,212
1993,-0.0144616975846577,-0.0203707471992328,-0.00993058139755892,-0.0263474021065342,-0.00648608103048929,212
1994,-0.0142865838345637,-0.0201902935848425,-0.00980618672693118,-0.0261425668477382,-0.00642146207056793,212
1995,-0.0143024068235602,-0.0206602042899515,-0.00987729886828126,-0.0260967185827039,-0.00640583942140081,212
1996,-0.0142729788473572,-0.0201677379368526,-0.00984780953476466,-0.0259802946936321,-0.00636763595340532,212
1997,-0.0144212722573897,-0.0200997680133812,-0.00991115606658977,-0.0260205949602457,-0.0063575133355914,212
1998,-0.0142921702462773,-0.0201773605550142,-0.00983918110644999,-0.0258528751736757,-0.00630794184401362,212
1999,-0.0143585473508605,-0.0199358876095277,-0.00987907568242719,-0.0259502141687211,-0.00628940240364976,212
2000,-0.014213382566808,-0.0200225807917749,-0.00982287079954225,-0.0257587263890325,-0.00625342286768002,212
2001,-0.0141724127062963,-0.0208427804987568,-0.00982327477533035,-0.0256674242202574,-0.00623175016657123,212
2002,-0.0141071499994626,-0.0197904229082462,-0.00978907598310635,-0.0255883842247297,-0.00619214450616071,212
2003,-0.0141097775482345,-0.0208604120878667,-0.00979067522808758,-0.025635815245098,-0.00619218499226474,212
2004,-0.0140618327708215,-0.0197884793974181,-0.00967273346542546,-0.0255226138931393,-0.00613555350094637,212
2005,-0.0140370831480008,-0.0196742444858271,-0.0096076902307794,-0.0255161584538311,-0.00610126988885705,212
2006,-0.0139938508014238,-0.02064677193952,-0.00953594397887408,-0.0253698283290517,-0.00607625032151608,212
2007,-0.014391353376987,-0.0205623583018238,-0.00983839299844419,-0.0263477945650208,-0.006458268283165,212
2008,-0.0142819866845398,-0.0208514160344612,-0.00978456182808352,-0.0261111484248609,-0.00630757602757417,212
2009,-0.0142059725436653,-0.0205823044497173,-0.00977304928073536,-0.0261909865667408,-0.0063479593681691,212
2010,-0.0140391882798965,-0.0201545655431658,-0.0096676644119465,-0.0260724521163267,-0.00619151826483872,212
