"w","ratio_median","ratio_mean","ratio_q05","ratio_q25","ratio_q75","ratio_q95","climate_ratio_median","climate_ratio_mean","climate_ratio_q05","climate_ratio_q25","climate_ratio_q75","climate_ratio_q95"
6.38046383815689,0.993889492950662,0.993736482221055,0.925940901875429,0.983963875011616,0.998762724012232,1.03228636920346,1,1.02437433493488,0.754892124434715,0.905081631647067,1.12158943705613,1.35879332243874
9.15266521555844,0.992797276176686,0.995676336308365,0.908794100932402,0.980458330257612,0.998605925648057,1.04729193239192,1,1.01141262067887,0.713548556982708,0.894123867991562,1.11098306045042,1.34100948279798
13.1293402287023,0.991402968686772,0.999887909978089,0.889099494117342,0.975789696303268,0.998482929570482,1.07089106952235,1,0.989946310330054,0.606391170662896,0.858256122805045,1.11168285078194,1.34447973990994
18.8338118767848,0.989541331168001,1.01230736409239,0.856613296489103,0.970011571819065,0.998343587518972,1.12515712075417,1,0.986527485581956,0.408328926216454,0.787030075763236,1.20156001641645,1.47449582819401
27.0167779668531,1.08489828477447,1.24376537324013,0.999902019513177,1.02234136059173,1.19080505604149,1.9305491133651,1,1.34217849434824,0.320464267776163,0.671263601288545,2.02028256621646,2.93880991924751
38.7551015421336,0.984097965406994,0.972245661998391,0.858806106828641,0.964712798221302,0.995626577698137,1.01466939857472,1,1.05997058710439,0.789874792482842,0.890480982181593,1.12824705806819,1.56973257910429
55.5935240458296,0.987770747473936,0.984153500790834,0.886712298024217,0.971620963865619,0.997658169932123,1.04125520458804,1,1.03492434828606,0.799897116097136,0.902571050452696,1.10922351044652,1.40246230205179
79.747950407875,0.992895603928398,1.00169306428865,0.917476233980241,0.98083815264646,0.999386119672173,1.10218039981938,1,1.0137047648009,0.823909217390455,0.916550202206211,1.09241354760596,1.24693354925053
114.397057992117,0.999097455576258,1.03225062915543,0.966603222926002,0.992229509958644,1.00889797951739,1.21006483837804,1,1.01227634342478,0.772533754283089,0.93198264713277,1.0809388544401,1.23573299374443
164.100604596346,1.00794729766511,1.08731563154814,0.995655913690378,1.00087056911058,1.04610002331129,1.3974515837077,1,0.99216298396292,0.569061084135936,0.858484574948647,1.11870667932213,1.35855207817769
235.399484056154,1.04264363598157,1.21463720707961,1.00034072571376,1.01511243761646,1.14855389690243,1.8389556147209,1,1.10835973434231,0.363553757040988,0.757426158149022,1.41868006696321,1.98579446590943
337.676495648558,1.04330201507547,1.19169014257332,1.00105952819181,1.01548785348234,1.14974401341225,1.76682804312725,1,1.03775567046123,0.379175105578103,0.739364752493162,1.29009087535495,1.67772754956818
484.391102940098,1.05999831921718,1.25462375838755,1.00136745325577,1.02140122487845,1.19484617889945,2.08437441610517,1,1.12118671972923,0.301258379508134,0.640931865486145,1.47185860507141,2.21928030127415
694.850674036028,1.07961073794026,1.2529696496202,1.00215032096868,1.02602210689282,1.21217028438985,2.08057275328088,1,1.22217613502127,0.371282148081809,0.679045595128589,1.54459720917444,2.58437586834324
996.751295136877,1.01338485982062,1.06519877393629,0.990337370903637,1.00376445314753,1.04232780621765,1.28026469901936,1,0.986291315872747,0.571607121501277,0.861748410547984,1.10891595874573,1.22398754127038
1429.82252371756,1.01421989539748,1.06655787747776,0.993627880008992,1.00445736161772,1.04765828933117,1.28097796262404,1,0.989411917096631,0.579213162906733,0.860417496890197,1.11304082086924,1.22368061946758
2051.05572403526,1.01463083690236,1.07108745886721,0.99921034724555,1.00446388467574,1.05143276983999,1.30888692049339,1,0.996173227675819,0.570982246530353,0.860718901146282,1.12013198294911,1.24416087560857
2942.20402414699,1.01548424375492,1.08644450569416,0.989452246220708,1.00236748598782,1.06325169579123,1.38083996790921,1,1.01538427109277,0.524735802015633,0.844826857130651,1.1696452153562,1.3607778806708
4220.54087476266,1.0052510097255,1.01346064467086,0.99930440244521,1.00181942834341,1.0140332463269,1.06348757353817,1,0.992449924806996,0.861337889426684,0.959432215102723,1.03473569874802,1.08601176072546
6054.29301617067,1.00022661097345,0.997897634786191,0.970988900062442,0.998613789955775,1.0017705202362,1.01359406708158,1,0.977238675246059,0.557869387637082,0.93344961401321,1.09094150157753,1.15556632590937
8684.77880283868,1.01982540294269,1.06550085408178,0.999075208252117,1.00735172113642,1.06598043255777,1.29536605519197,1,0.987108813586469,0.626746044083128,0.902206371712587,1.08807677715428,1.25304129390359
12458.1652478298,1.01804952046303,1.05994635079871,0.998852864711118,1.0063556129471,1.06020888721871,1.27088425590188,1,0.993151042178614,0.67990923711568,0.908963786547628,1.07889155552327,1.27586207322677
17871.0229547244,1.01671559058522,1.05710958767094,0.998368089115607,1.00509171226829,1.05623431461826,1.25152715234146,1,1.00708914234226,0.738684710150202,0.915305714740064,1.07849704184775,1.3590316143989
25635.6738809449,1.02322584922927,1.10286603567656,0.993178526379487,1.00689540880666,1.08824672079305,1.48246002606272,1,1.1163151074414,0.6461521293329,0.848399313558452,1.21838659700978,2.34265045032912
36773.9315760001,1.03524442321484,1.15770604845954,0.992535858842829,1.01043119197665,1.1283877156351,1.73202659742011,1,0.965130551675208,0.339779870279166,0.801829535603828,1.145928764437,1.38086621871361
52751.5699347979,1.03497391403642,1.16181807050825,0.990214083838411,1.00928450298762,1.13294891189106,1.74997917131227,1,0.966059492685765,0.346022984586421,0.799590027294233,1.14720237968077,1.38391907131779
75671.2163026369,1.03519124794347,1.16833564782298,0.986209961914931,1.00866145574178,1.13624665307579,1.82303157451928,1,0.968887012515098,0.344234903276557,0.800308129896148,1.15123411476165,1.39640116005726
108549.05330397,1.0352057184204,1.18118852512218,0.981809564939215,1.00750032906585,1.14304009722812,1.86455133600573,1,0.966031970668636,0.330655692557478,0.793708885470132,1.15188983423349,1.40554331388225
155711.742838438,1.04731468838387,1.29044512427779,0.988935273206855,1.01196545109064,1.19006650149429,2.31711669287842,1,0.966233101628713,0.210452202799158,0.712041387623942,1.21862761415604,1.54290348250289
223365.806700198,1.03977862119926,1.31427977133878,0.996095998823592,1.01079022682674,1.15050251320851,2.38332896360651,1,1.03170059243572,0.0868884917270031,0.538376181044068,1.42281848084716,2.09020883362091
320414.393245838,0.999510236731091,0.999209989517894,0.976624482286491,0.995654032617671,1.00400288366755,1.02158766044223,1,1.06458252076493,0.921049006921243,0.956814005541303,1.04489256142265,1.58761156085616
459628.91507784,1.01189232963789,1.02507708641848,0.967113411322832,0.999625821292575,1.0416775619605,1.11725327066321,1,1.00023694011505,0.667942021906645,0.861136891150472,1.12048094101926,1.33332889949199
659329.743072884,0.996859100633124,0.991288368625536,0.949902459014962,0.989646945352292,1.00095135417943,1.01436013712388,1,1.07900266049772,0.897416369610071,0.936050150481375,1.05107904827135,1.79205766245579
945797.132947857,0.997647052394396,0.993662663599801,0.946670650626306,0.98848101828686,1.0044203568447,1.02816041062572,1,1.08584672537408,0.880279783879283,0.932242674880182,1.06012354234909,1.84202209415773
1356729.65779355,1.00961281786088,1.03142104455701,0.950563641160425,0.995927615899502,1.04910868270518,1.16979975267776,1,1.0713248206627,0.399286462621964,0.669802844472248,1.38483886745718,1.99401068146048
1946205.26983358,0.985125571483526,0.984503418209171,0.914943071729676,0.96453209585714,1.00135334937421,1.05381018947188,1,1.07363957219846,0.777183642991883,0.861229595199985,1.11677184781979,1.8897821784832
2791797.85786357,1.01296010219316,1.04804294336478,0.927671375553236,0.993782485783758,1.07381261086953,1.25010542212765,1,2.32165510334646,0.332720798769491,0.587508364496284,1.80418003497543,7.40536581590453
4004785.82602855,0.934449337567825,0.923297019323224,0.758304092949255,0.858901058169974,0.988154475179757,1.0466035044454,1,1.11536191372011,0.835014591869496,0.947250783783144,1.07062557786008,1.90599789302519
5744796.12382558,0.936671972403418,0.932791880403359,0.749410112400145,0.850384877479623,0.995051551294855,1.10181119543855,1,1.07418074623142,0.751704270695966,0.925376420960098,1.06873054906301,1.80901898808581
8240810.85430961,0.281513709261926,0.387192077902348,0.00280135146148083,0.133519645286231,0.574418591585669,1.00724536450396,1,107.892732992367,0.273395891688683,0.528652971567395,1.97867078383858,560.949267508484
11821300.8908807,0.837041422768339,0.765694337400125,0.364358750677948,0.647382152378084,0.933983817645421,0.993556637221257,1,1.12803951031127,0.826183771527541,0.949240828309966,1.09393553648905,1.79737732859771
16957452.0303007,0.868278590741574,0.855005182868377,0.64832127211027,0.760645864598091,0.971426742502703,1.00590299938245,1,1.03837928890329,0.862665520196462,0.920363163085515,1.06934257514209,1.4929763593614
24325172.1628858,0.862326448956122,0.846788457451306,0.633035255147077,0.747316991065445,0.969303046574682,1.00420231481593,1,1.05633924107658,0.847987471490113,0.916148365171472,1.07782572277364,1.64818156977326
34894039.487579,0.762935386712458,0.748274694882006,0.434603347603822,0.569381865350934,0.953108212697483,0.998811472877212,1,1.03834352649129,0.776807835664585,0.853411572954827,1.09662166131277,1.67140263448233
50054897.1907571,0.0285849787077264,0.152506039257067,0.00233249665314434,0.0156703888305193,0.147901776177064,0.797833301988872,1,16.0500118859117,0.651893581493166,0.857325532267946,3.97204824395547,95.2801940687316
71802885.8100286,0.999766796982784,0.997451852466577,0.953209350995283,0.99268043407734,1.0078735620923,1.03201050533682,1,1.09065494728189,0.866304416487419,0.917902582496158,1.06294737788671,2.12051065291819
103000000.000001,0.587409175386614,0.529924254061221,0.0126891374898967,0.204557789231377,0.851014275456753,0.984160011385146,1,4.40596700169194,0.231502445683186,0.992522564172222,3.66080610555508,20.9223415080924
