"sim_index","valid_sim_index","rmse","rank"
333,333,1.86126223953241,868
684,684,1.86149623450938,869
581,581,1.86153599271622,870
605,605,1.86167906590132,871
1095,1095,1.86168645752283,872
758,758,1.86214230976384,873
1359,1359,1.8623132296451,874
349,349,1.86259370610916,875
1320,1320,1.86261109252489,876
1344,1344,1.86277574702889,877
697,697,1.86290587654312,878
1531,1531,1.86299083336141,879
668,668,1.86301600298116,880
640,640,1.86319234834188,881
312,312,1.86355694775814,882
248,248,1.86362631121667,883
666,666,1.86371156619451,884
1550,1550,1.86383034640752,885
447,447,1.86383470619949,886
1809,1809,1.86412142648608,887
1321,1321,1.86446674080134,888
1780,1780,1.8645367375817,889
904,904,1.86467491878399,890
246,246,1.86484803573558,891
1842,1842,1.86486619620661,892
1395,1395,1.86497655361775,893
1499,1499,1.86502024787587,894
598,598,1.86510839690597,895
1759,1759,1.86516177772271,896
1647,1647,1.86520524264297,897
696,696,1.86537928707524,898
338,338,1.86540915036791,899
1259,1259,1.86554154556525,900
1378,1378,1.86573262626253,901
149,149,1.86577911017073,902
1048,1048,1.86586626247247,903
265,265,1.86590190639769,904
1496,1496,1.86592438458078,905
12,12,1.8660980994141,906
145,145,1.86626437600232,907
752,752,1.86643969644051,908
1495,1495,1.86647609260552,909
391,391,1.86651762334045,910
1305,1305,1.86664007515344,911
802,802,1.86681809782585,912
374,374,1.86684891155378,913
1402,1402,1.86696614823338,914
463,463,1.86702512440586,915
483,483,1.86706945432745,916
452,452,1.86720922678365,917
1519,1519,1.86720922678365,918
1730,1730,1.86732775342904,919
179,179,1.8673513521346,920
241,241,1.86740665374842,921
662,662,1.86761716951622,922
1460,1460,1.86766549434922,923
700,700,1.8676945646672,924
1342,1342,1.86772563833421,925
834,834,1.86793357630066,926
1182,1182,1.86853530491885,927
772,772,1.86859639623452,928
151,151,1.86876482821594,929
983,983,1.86899564670964,930
266,266,1.8691415433702,931
616,616,1.86952830235244,932
636,636,1.86956665529613,933
547,547,1.87018757334483,934
497,497,1.87036325706885,935
1136,1136,1.87062188785032,936
709,709,1.87063306127426,937
