"sim_index","valid_sim_index","rmse","cor_raw","cor_log","rank","pass_corr"
214,214,1.75932709350211,0.880024486550547,0.908945601440461,258,TRUE
1469,1469,1.75960152331672,0.240748810237592,0.908878960090046,259,TRUE
1816,1816,1.76059572187061,0.462685777017185,0.918264843562267,260,TRUE
188,188,1.7607055503012,0.664768269104239,0.908628814463336,261,TRUE
756,756,1.76078700622597,0.347389041639617,0.908505843595221,262,TRUE
540,540,1.76112770380396,0.780824189507121,0.907989355371329,263,TRUE
370,370,1.761181846723,0.0391658408527035,0.909483435892915,264,TRUE
101,101,1.76133211917316,0.751348599229191,0.908211551733178,265,TRUE
826,826,1.76152735445159,0.0327515029103293,0.909103009877827,266,TRUE
1360,1360,1.76163157305806,0.90336928842737,0.908050086780849,267,TRUE
492,492,1.76164141037845,0.691092705587001,0.909111575379852,268,TRUE
1123,1123,1.76183702326743,0.0686227214753885,0.913224444216979,269,TRUE
673,673,1.76214803585953,0.694462296085499,0.908282941801289,270,TRUE
1829,1829,1.76256708503133,0.966573605095338,0.914863795622292,271,TRUE
536,536,1.76275745871555,0.975436800069836,0.911222043688876,272,TRUE
1539,1539,1.76327871818452,0.867217135686163,0.908991574661392,273,TRUE
1771,1771,1.76340089129097,0.506150335107159,0.917572832075566,274,TRUE
1674,1674,1.76350370363249,0.0682979157040977,0.913127793224134,275,TRUE
655,655,1.76356215453141,0.875068317946584,0.9086579500447,276,TRUE
38,38,1.76359682640723,0.115484627678256,0.908241050272527,277,TRUE
741,741,1.76378635319669,0.620171596746665,0.908303655933545,278,TRUE
392,392,1.76441035048444,0.0839495266483701,0.908161380123213,279,TRUE
562,562,1.76453512775604,0.148577400354991,0.907724294483427,280,TRUE
1792,1792,1.76458980307745,0.704272458858557,0.916745976180575,281,TRUE
650,650,1.76481116718486,0.0273907868306551,0.907660101964446,282,TRUE
1465,1465,1.7653424742194,0.189699892836614,0.907906538765417,283,TRUE
1223,1223,1.76539312022065,0.974052947568857,0.915875970751337,284,TRUE
501,501,1.76546950188687,0.855693395024477,0.907496473013745,285,TRUE
259,259,1.76575306242781,0.871567123204455,0.908446800573616,286,TRUE
360,360,1.76575827003879,0.922256268622877,0.909296404202274,287,TRUE
356,356,1.76601315943719,0.961242049892718,0.908654214434347,288,TRUE
139,139,1.76732587413865,0.970979850872905,0.912308272872098,289,TRUE
617,617,1.76741427925939,0.0577528667119589,0.907604875465828,290,TRUE
670,670,1.76762032608446,0.160965315417989,0.907495209510157,291,TRUE
185,185,1.76785338085228,0.0979995556100791,0.909325859857231,292,TRUE
1897,1897,1.76787516681947,0.822000482581687,0.90926533405031,293,TRUE
146,146,1.76803528932069,0.702124001816876,0.908691871641552,294,TRUE
1276,1276,1.76836653592346,0.761687941437965,0.91093451822179,295,TRUE
1383,1383,1.76851203594826,0.946022981155626,0.907370363080962,296,TRUE
165,165,1.76862416455919,0.331471263244805,0.910077514508113,297,TRUE
251,251,1.76892986061893,0.0605972308786428,0.907194765501319,298,TRUE
1404,1404,1.76987866800406,0.950172183963123,0.907840891541342,299,TRUE
1105,1105,1.77000226635864,0.0383769814668884,0.907392601405277,300,TRUE
17,17,1.77050570720851,0.047522373653619,0.910563248447198,301,TRUE
1019,1019,1.77063062967004,0.689924913128572,0.916412178185959,302,TRUE
954,954,1.77067550670319,0.107273753054066,0.907048656669447,303,TRUE
1831,1831,1.77091672893701,0.941790595104224,0.918339125994146,304,TRUE
1796,1796,1.7709500473407,0.954157974909774,0.915864416222661,305,TRUE
1376,1376,1.77107025245741,0.237830547170303,0.907558764230362,306,TRUE
1357,1357,1.77107228371709,0.942520033765362,0.90717388361377,307,TRUE
311,311,1.7713410833376,0.0551763814063945,0.90904217757248,308,TRUE
324,324,1.77165444689619,0.014537599081464,0.909020268438965,309,TRUE
574,574,1.77186114878513,0.246298194264756,0.90680667723993,310,TRUE
7,7,1.77191398050102,0.888752682863274,0.907416710985131,311,TRUE
1392,1392,1.77227877096854,0.886096685692912,0.910644144424571,312,TRUE
1656,1656,1.77244419508544,0.0365313473768907,0.907157203222524,313,TRUE
45,45,1.77278896542941,0.143866598796708,0.907331912680024,314,TRUE
1491,1491,1.77334353373267,0.348976475072262,0.906607118240511,315,TRUE
239,239,1.77362100627929,0.21381509829272,0.907168511365023,316,TRUE
143,143,1.77366426301652,0.121527999703382,0.906778126702748,317,TRUE
881,881,1.77378192474017,0.0221765108799347,0.912917748896824,318,TRUE
1627,1627,1.7744547139516,0.777427809454747,0.907320974930486,319,TRUE
426,426,1.77447642343842,0.804820136043887,0.906872227841266,320,TRUE
1448,1448,1.77500877182121,0.833672038658391,0.908283720965405,321,TRUE
425,425,1.7756009784742,0.315491013239856,0.907142172950826,322,TRUE
