"Year","Species","min_biomass_t","median_biomass_t","max_biomass_t","q05_biomass_t","q95_biomass_t","ObsBiomass_t"
1887,"shelf and coastal fishes",1271680.31516292,4889273.0976603,7579918.50086211,2622579.543306,6275135.2585531,4027900
1887,"small divers",11050.373424782,37782.2516354284,48166.0883410576,22139.6050610398,42747.7558340242,23589.46
1887,"sperm whales",10929.0353896543,24472.7437842554,13576072.0672093,14628.6415182417,2718618.36313251,16217.75
1887,"squids",41904.1173095323,141666.551101524,431909.221326754,91045.9584844045,300032.653423704,221151.2
1887,"toothfishes",2253.68975469215,1029075.59167658,2770936.63147355,155555.548249006,1829720.48581411,1105756
1888,"antarctic krill",148304.714198741,13101738.5294816,57897821.437084,1711991.12499295,36329906.3986483,5897364
1888,"baleen whales",108447.596679067,867613.621437819,110187659.405657,177433.034754619,18807700.4394834,187241.3
1888,"bathypelagic fishes",319702.687469231,2394769.48485936,7712669.47671831,997786.097901913,4523079.96387776,1769209
1888,"flying birds",3956.87529753078,6023.04028105828,6610.96451649256,5434.08658384313,6296.94755363137,4423.023
1888,"large divers",2285.08472798064,18589.2016885362,3480071.18797638,5765.15557433504,264266.784309765,16217.75
1888,"leopard seals",553.268110128792,3307.90550690693,32900.7565289824,1910.5110233172,4656.5179799125,2948.682
1888,"medium divers",65131.3296738784,416678.763504763,1618012.80257186,157576.605423912,849502.94097744,390700.4
1888,"mesopelagic fishes",21112.8257390231,1774083.77931138,4682510.87794423,511084.873538035,3588873.24645297,1769209
1888,"mesozooplankton",5170987.40030576,17462907.7293297,29315428.8313143,9110738.60728431,25023141.342404,12974200
1888,"minke whales",2099.78071996545,26854.4788574752,202851695.716775,7344.13597995849,20514992.2277226,20640.77
1888,"orca",4647.04025890973,8953.74984013613,317190.41683864,6930.69514263615,18890.3892315174,8846.046
1888,"other krill",172759.882361112,11323463.8946939,129123551.044586,1352598.92661796,79833460.2601163,2801248
1888,"other macrozooplankton",1370192.09286899,18484422.5613508,37943188.8671687,7649434.11536073,28199228.6334225,14743410
1888,"salps",104773.913651279,1064998.45686469,2901763.54589839,408144.502538149,2071960.49156161,961270.3
