"Year","Species","n","min_t","q05_t","q25_t","median_t","q75_t","q95_t","max_t","ObsYield_t"
1860,"baleen whales",2111,0,0,0,0,0,0,0,NA
1861,"mesozooplankton",2111,0,0,0,0,0,0,0,NA
1861,"other krill",2111,0,0,0,0,0,0,0,NA
1861,"other macrozooplankton",2111,0,0,0,0,0,0,0,NA
1861,"antarctic krill",2111,0,0,0,0,0,0,0,NA
1861,"salps",2111,0,0,0,0,0,0,0,NA
1861,"mesopelagic fishes",2111,0,0,0,0,0,0,0,NA
1861,"bathypelagic fishes",2111,0,0,0,0,0,0,0,NA
1861,"shelf and coastal fishes",2111,0,0,0,0,0,0,0,NA
1861,"flying birds",2111,0,0,0,0,0,0,0,NA
1861,"small divers",2111,0,0,0,0,0,0,0,NA
1861,"squids",2111,0,0,0,0,0,0,0,NA
1861,"toothfishes",2111,0,0,0,0,0,0,0,NA
1861,"leopard seals",2111,0,0,0,0,0,0,0,NA
1861,"medium divers",2111,0,0,0,0,0,0,0,NA
1861,"large divers",2111,0,0,0,0,0,0,0,NA
1861,"minke whales",2111,0,0,0,0,0,0,0,NA
1861,"orca",2111,0,0,0,0,0,0,0,NA
1861,"sperm whales",2111,0,0,0,0,0,0,0,NA
1861,"baleen whales",2111,0,0,0,0,0,0,0,NA
1862,"mesozooplankton",2111,0,0,0,0,0,0,0,NA
1862,"other krill",2111,0,0,0,0,0,0,0,NA
1862,"other macrozooplankton",2111,0,0,0,0,0,0,0,NA
1862,"antarctic krill",2111,0,0,0,0,0,0,0,NA
1862,"salps",2111,0,0,0,0,0,0,0,NA
1862,"mesopelagic fishes",2111,0,0,0,0,0,0,0,NA
1862,"bathypelagic fishes",2111,0,0,0,0,0,0,0,NA
1862,"shelf and coastal fishes",2111,0,0,0,0,0,0,0,NA
1862,"flying birds",2111,0,0,0,0,0,0,0,NA
1862,"small divers",2111,0,0,0,0,0,0,0,NA
1862,"squids",2111,0,0,0,0,0,0,0,NA
1862,"toothfishes",2111,0,0,0,0,0,0,0,NA
1862,"leopard seals",2111,0,0,0,0,0,0,0,NA
1862,"medium divers",2111,0,0,0,0,0,0,0,NA
1862,"large divers",2111,0,0,0,0,0,0,0,NA
1862,"minke whales",2111,0,0,0,0,0,0,0,NA
1862,"orca",2111,0,0,0,0,0,0,0,NA
1862,"sperm whales",2111,0,0,0,0,0,0,0,NA
1862,"baleen whales",2111,0,0,0,0,0,0,0,NA
1863,"mesozooplankton",2111,0,0,0,0,0,0,0,NA
1863,"other krill",2111,0,0,0,0,0,0,0,NA
1863,"other macrozooplankton",2111,0,0,0,0,0,0,0,NA
1863,"antarctic krill",2111,0,0,0,0,0,0,0,NA
1863,"salps",2111,0,0,0,0,0,0,0,NA
1863,"mesopelagic fishes",2111,0,0,0,0,0,0,0,NA
1863,"bathypelagic fishes",2111,0,0,0,0,0,0,0,NA
1863,"shelf and coastal fishes",2111,0,0,0,0,0,0,0,NA
1863,"flying birds",2111,0,0,0,0,0,0,0,NA
1863,"small divers",2111,0,0,0,0,0,0,0,NA
1863,"squids",2111,0,0,0,0,0,0,0,NA
1863,"toothfishes",2111,0,0,0,0,0,0,0,NA
1863,"leopard seals",2111,0,0,0,0,0,0,0,NA
1863,"medium divers",2111,0,0,0,0,0,0,0,NA
1863,"large divers",2111,0,0,0,0,0,0,0,NA
1863,"minke whales",2111,0,0,0,0,0,0,0,NA
1863,"orca",2111,0,0,0,0,0,0,0,NA
1863,"sperm whales",2111,0,0,0,0,0,0,0,NA
1863,"baleen whales",2111,0,0,0,0,0,0,0,NA
1864,"mesozooplankton",2111,0,0,0,0,0,0,0,NA
1864,"other krill",2111,0,0,0,0,0,0,0,NA
1864,"other macrozooplankton",2111,0,0,0,0,0,0,0,NA
1864,"antarctic krill",2111,0,0,0,0,0,0,0,NA
1864,"salps",2111,0,0,0,0,0,0,0,NA
1864,"mesopelagic fishes",2111,0,0,0,0,0,0,0,NA
1864,"bathypelagic fishes",2111,0,0,0,0,0,0,0,NA
1864,"shelf and coastal fishes",2111,0,0,0,0,0,0,0,NA
1864,"flying birds",2111,0,0,0,0,0,0,0,NA
1864,"small divers",2111,0,0,0,0,0,0,0,NA
1864,"squids",2111,0,0,0,0,0,0,0,NA
1864,"toothfishes",2111,0,0,0,0,0,0,0,NA
1864,"leopard seals",2111,0,0,0,0,0,0,0,NA
1864,"medium divers",2111,0,0,0,0,0,0,0,NA
1864,"large divers",2111,0,0,0,0,0,0,0,NA
1864,"minke whales",2111,0,0,0,0,0,0,0,NA
1864,"orca",2111,0,0,0,0,0,0,0,NA
1864,"sperm whales",2111,0,0,0,0,0,0,0,NA
